Gene	PVALUE
DAB2	0.0107
DAB2IP	0.00145
DACH1	0.00128
DACT1	0.00228
DACT2	0.00589
DACT3	0.00156
DAD1	0.0028
DAGLA	0.0117
DAGLB	0.0108
DAOA-AS1	4.22E-05
DAPK1	0.00122
DAPK2	0.0153
DAPL1	0.0102
DARS	0.0073
DAZL	0.0369
DBX1	0.0297
DBX2	0.00798
DCAF10	0.00655
DCAF4	0.016
DCAKD	0.00245
DCANP1	0.00912
DCBLD1	0.0481
DCC	9.47E-05
DCD	0.0115
DCDC2	0.005
DCDC2C	0.0194
DCDC5	0.00182
DCHS2	9.62E-05
DCLK1	0.00621
DCLK2	0.036
DCLRE1A	0.0142
DCN	0.0261
DCP2	0.0012
DCTD	0.0191
DCTN4	0.00439
DCUN1D2	0.0316
DCUN1D3	0.037
DCUN1D4	0.0184
DCXR	0.0165
DDAH1	0.00128
DDB2	0.0331
DDC	0.00985
DDHD1	0.00457
DDI1	0.0361
DDIT4L	0.0313
DDO	0.00946
DDR1	0.00766
DDR2	2.01E-04
DDRGK1	0.0425
DDX1	0.00875
DDX10	0.00318
DDX12P	0.0293
DDX17	0.0141
DDX18	0.016
DDX25	1.72E-04
DDX31	8.12E-06
DDX50	0.0444
DDX55	0.0192
DDX56	0.0328
DDX59	0.00141
DDX60L	0.0191
DEC1	0.0395
DEFA10P	0.00519
DEFA4	0.00701
DEFA5	0.0179
DEFA6	0.0336
DEFB119	0.00579
DEFB128	0.00927
DEK	0.00665
DENND1A	2.04E-06
DENND1B	0.0161
DENND2D	0.019
DENND4C	0.00143
DENND5B	0.0359
DEPDC1	1.57E-04
DEPDC5	9.64E-04
DERA	0.033
DESI2	0.0119
DET1	0.012
DFNA5	2.33E-04
DFNB31	0.00478
DGKB	0.0252
DGKG	0.00213
DGKI	0.00904
DHCR7	0.0145
DHRS12	0.0342
DHRS7	0.0045
DHRS9	0.012
DHX15	0.0214
DHX38	0.0179
DHX40	0.0056
DIAPH3	2.18E-05
DICER1	0.00449
DIDO1	0.0403
DIO1	0.00291
DIO2	0.0223
DIRC1	0.00472
DIRC3	0.00131
DIS3L2	0.0333
DISC1	0.00654
DISP1	0.00102
DISP3	0.0446
DKK1	0.0219
DKK2	0.0147
DKK3	0.0117
DKK4	0.0234
DLC1	0.0362
DLEU7	0.00991
DLG1-AS1	0.0155
DLG2	2.83E-04
DLG5	0.00225
DLGAP1	0.00117
DLGAP1-AS5	0.00258
DLGAP2	0.00407
DLX2	0.00796
DLX6	0.00443
DLX6-AS1	0.0329
DMBX1	0.0314
DMC1	0.00284
DMGDH	0.0183
DMRT1	0.026
DMRT2	1.26E-04
DMRT3	8.10E-04
DNAH11	0.0196
DNAH12	0.022
DNAH14	8.86E-04
DNAH17	0.00328
DNAH2	0.03
DNAH3	6.34E-04
DNAH5	8.55E-04
DNAH6	0.0166
DNAH7	0.00628
DNAH9	0.00461
DNAJA1	0.0309
DNAJA4	0.0331
DNAJB5	0.0094
DNAJC13	0.00849
DNAJC15	0.00394
DNAJC16	0.0427
DNAJC27-AS1	0.0151
DNAJC3	4.57E-04
DNAJC5B	0.0202
DNASE1L3	0.00224
DNER	0.0252
DNM1L	0.026
DNM2	0.0192
DNM3	0.0184
DNMBP	0.0155
DNPEP	0.00204
DOC2B	0.0258
DOCK1	0.00204
DOCK10	0.0116
DOCK2	0.00734
DOCK4	0.0105
DOCK5	0.0456
DOCK8	0.0368
DOK5	0.0267
DOK6	0.00711
DPF3	7.36E-05
DPH6-AS1	0.025
DPP10	0.00387
DPP6	0.00925
DPPA4	0.0358
DPT	1.82E-06
DPY19L2P4	0.00808
DPYD	6.00E-04
DPYSL2	0.0095
DPYSL5	0.023
DRAIC	0.0343
DRD1	0.0125
DRD2	0.00703
DRD5	0.0156
DROSHA	0.0159
DSC1	1.42E-04
DSC3	3.27E-04
DSCAM	4.48E-04
DSCAML1	5.47E-05
DSCC1	0.0157
DSCR3	0.0222
DSCR4	2.24E-04
DSCR8	0.0332
DSEL	0.00888
DSG1	2.48E-05
DSG4	2.44E-04
DSPP	0.00263
DSTN	0.03
DSTYK	0.0458
DTD1	0.00842
DTHD1	1.60E-05
DTL	0.0092
DTNA	0.0307
DTNBP1	0.00227
DTWD2	0.0043
DTX4	0.00685
DUSP1	0.0308
DUSP10	0.0251
DUSP16	0.0269
DUSP26	0.0409
DUSP27	0.00118
DUSP28	0.0018
DUSP5	0.00687
DUSP6	2.09E-04
DYM	0.017
DYNC1I1	0.0084
DYNC1LI1	0.00878
DYNC2H1	0.0258
DYNC2LI1	0.049
DYNLRB2	0.0418
DYRK1A	0.0212
DYRK2	3.94E-05
DYRK4	0.014
DYSF	0.00924
DZIP1	0.00326
E2F5	0.00277
EAF2	0.0172
EAPP	0.0449
EBF1	0.0124
EBF2	5.16E-05
ECEL1	0.00568
ECHDC1	0.0292
ECHDC3	0.0266
ECT2	0.0361
EDAR	0.00998
EDARADD	0.013
EDDM3B	0.03
EDEM1	5.41E-04
EDIL3	0.00416
EDN1	0.0331
EDNRB	0.0013
EDNRB-AS1	0.0402
EEA1	0.00433
EEF1A2	0.0163
EEF1D	0.00984
EEF2KMT	9.84E-04
EEFSEC	0.00706
EEPD1	0.00291
EFCAB1	0.0153
EFCAB14	0.0496
EFCAB3	0.00172
EFCAB6	0.00118
EFCAB9	0.0023
EFCC1	0.00978
EFEMP1	5.30E-04
EFHB	0.0348
EFHC1	0.0119
EFHD1	9.80E-04
EFL1	0.0061
EFNA5	2.21E-05
EFR3A	0.0206
EFR3B	0.015
EGF	0.00599
EGFEM1P	0.0379
EGFLAM	0.0145
EGFR	6.85E-04
EGFR-AS1	0.0187
EGR2	9.05E-05
EHD3	0.0223
EHD4	0.024
EHF	0.00165
EHMT1	0.0195
EI24	0.0325
EIF1AD	0.00236
EIF2AK3	0.00761
EIF2B3	0.0418
EIF3D	0.0138
EIF3H	0.00315
EIF3IP1	0.0171
EIF4A3	0.0497
EIF5	0.0369
EIF5A2	0.0144
EIF6	0.0445
ELAC2	0.00146
ELAVL2	0.0164
ELF2	0.0113
ELF5	3.63E-05
ELFN2	0.0164
ELK3	0.0289
ELL2	0.0089
ELMO1	0.0017
ELMOD1	0.0226
ELOVL4	1.21E-07
ELOVL5	0.00388
ELOVL6	0.00857
ELOVL7	4.30E-06
ELP3	4.44E-04
EMC2	0.0329
EMC8	0.0403
EMCN	0.014
EMID1	0.00149
EMILIN2	0.00753
EML1	0.0469
EML3	0.0316
EML5	0.00799
EML6	0.0195
EMP1	0.0103
EMP2	0.0094
EMX1	0.0344
EMX2	0.0367
EMX2OS	0.0419
EN1	0.0167
ENAH	0.0107
ENC1	0.0303
ENDOG	0.0205
ENOPH1	0.036
ENOX1	0.00929
ENPP2	0.0152
ENPP3	0.0442
ENPP6	0.0137
ENSA	0.0119
ENSAP3	0.00777
ENTPD1	2.88E-06
ENTPD3	0.0048
ENTPD3-AS1	0.00632
ENTPD5	1.15E-04
EOMES	0.00385
EP300	0.0122
EPB41	0.0118
EPB41L1	0.0194
EPB41L2	0.0222
EPB41L3	3.42E-04
EPB41L4A	0.00605
EPB41L4B	0.0388
EPC1	0.012
EPDR1	7.61E-04
EPG5	0.00142
EPHA10	0.0328
EPHA2	0.0373
EPHA3	0.0282
EPHA4	0.027
EPHA5	0.00443
EPHA5-AS1	0.00713
EPHA6	0.00593
EPHA7	0.0225
EPHB1	0.00211
EPHX2	0.00224
EPM2A	0.00214
EPS15L1	0.0248
EPS8L3	0.00699
EPSTI1	0.0492
EPT1	0.0124
ERAP2	0.00867
ERBB4	0.011
ERC1	0.0308
ERC2	0.0102
ERCC4	0.00424
ERG	0.0161
ERI1	0.0071
ERI3	0.0464
ERICH1-AS1	0.0323
ERMARD	0.0391
ERMP1	0.00966
ERRFI1	0.00222
ESM1	0.00247
ESR1	0.0137
ESRP1	0.044
ESRRB	0.00528
ESRRG	2.55E-04
ESYT3	0.00154
ETAA1	0.00209
ETFA	0.0376
ETFDH	0.00388
ETNK1	0.00459
ETS1	0.00635
ETS2	0.029
ETV1	0.00466
ETV3	0.00558
ETV5	0.043
ETV6	1.23E-07
ETV7	0.0335
EVA1C	0.00331
EVC	0.0487
EVC2	0.0254
EVI5	0.00202
EVI5L	0.0188
EVL	0.0012
EVX1	0.0201
EWSAT1	7.18E-05
EXOC2	3.19E-04
EXOC4	0.00474
EXOC6	0.0143
EXPH5	0.00234
EXT1	0.0248
EXT2	0.0019
EXTL2	0.0143
EYA1	0.0042
EYA2	0.00523
EYA4	0.0017
EYS	0.0121
F11	2.49E-04
F11-AS1	0.00633
F13A1	0.0125
F13B	0.0352
F5	0.0112
FA2H	0.00753
FAAH	0.0017
FABP1	0.0126
FABP4	0.00504
FABP6	0.00638
FAHD2B	0.0206
FAM102B	0.00303
FAM105A	0.0214
FAM107A	0.00584
FAM107B	9.40E-04
FAM109B	0.0102
FAM110A	0.00147
FAM110B	0.00456
FAM111B	0.00514
FAM114A1	5.07E-04
FAM114A2	0.001
FAM117B	0.0277
FAM120A	0.00142
FAM124A	0.0307
FAM124B	0.00146
FAM129A	1.24E-04
FAM129C	5.94E-04
FAM133B	0.0179
FAM134B	0.0199
FAM135B	0.00149
FAM13A	0.0441
FAM13C	0.0299
FAM149A	0.032
FAM155A	2.20E-04
FAM160A1	0.00242
FAM160B1	0.0492
FAM161A	0.0148
FAM162A	0.0332
FAM168A	0.0418
FAM169B	0.00288
FAM170A	2.79E-05
FAM171A1	0.0178
FAM172A	0.0025
FAM173B	0.00655
FAM174A	0.0425
FAM178B	0.0493
FAM180A	0.00441
FAM181B	0.019
FAM184B	0.00631
FAM188A	0.042
FAM189A1	0.0328
FAM196A	0.0167
FAM19A1	0.0168
FAM19A2	0.00236
FAM19A4	0.0362
FAM19A5	0.0365
FAM208B	0.0414
FAM20A	4.13E-04
FAM214A	0.0182
FAM214B	0.0276
FAM216B	0.00958
FAM219A	0.0383
FAM220BP	0.0313
FAM221A	0.00261
FAM228A	0.0239
FAM234B	0.00254
FAM27E5	0.0116
FAM3D	0.0437
FAM43B	0.00478
FAM45A	0.0492
FAM46A	1.59E-04
FAM46C	0.0437
FAM47E	0.0269
FAM49A	0.00438
FAM50B	0.0402
FAM53A	0.0232
FAM53B	0.00747
FAM60A	0.0215
FAM65B	0.00116
FAM71F1	3.39E-05
FAM76B	0.0364
FAM78B	0.00863
FAM83B	0.0433
FAM84A	0.00113
FAM84B	0.00488
FAM86B3P	0.0161
FAM86DP	0.0206
FAM87A	0.0326
FAM8A1	0.0435
FAM98B	0.0377
FANCE	0.00507
FANCL	2.60E-04
FANCM	0.00923
FAP	0.0268
FAR1	0.0159
FAR2	0.00989
FARP1	0.0258
FARP2	0.0427
FARS2	0.00875
FAS	0.00703
FASLG	7.86E-04
FAT2	0.0461
FAT3	0.0105
FAT4	0.00134
FAU	0.0144
FBL	0.0218
FBLN1	0.00628
FBN1	0.0192
FBN2	0.00338
FBP1	0.0315
FBXL17	0.00451
FBXL4	0.0406
FBXL7	0.00554
FBXO10	0.0135
FBXO15	0.00808
FBXO18	0.00883
FBXO21	0.0464
FBXO3	5.45E-04
FBXO31	0.028
FBXO32	0.00223
FBXO33	0.0033
FBXO40	0.00332
FBXO42	0.00807
FBXO43	0.0214
FBXO45	0.0038
FBXO48	3.18E-04
FBXO8	0.0141
FCAMR	0.031
FCHSD1	0.0379
FCN1	0.0388
FCRL1	0.0308
FCRL3	0.0446
FCRL5	0.00226
FDFT1	0.0158
FDX1	0.0147
FEM1B	0.00676
FEM1C	0.0359
FER	0.0105
FER1L4	0.013
FER1L6	0.00505
FERD3L	0.0309
FERMT1	3.16E-04
FEZ1	0.0129
FEZ2	0.0174
FFAR2	0.0452
FGD2	0.0129
FGD4	0.0153
FGF1	0.00956
FGF10	0.0344
FGF12	0.0058
FGF14	0.00616
FGF19	0.00888
FGF20	0.0366
FGF4	0.033
FGF9	0.0192
FGFBP1	0.0407
FGFR1	0.0218
FGFR1OP	0.0235
FGFR1OP2	0.0325
FGFR2	0.00245
FGGY	0.0109
FH	0.00117
FHDC1	0.0106
FHIT	6.60E-05
FHL2	1.39E-06
FHL5	0.00851
FHOD3	0.0404
FICD	2.95E-04
FIG4	0.00394
FIGN	0.0163
FILIP1	0.0464
FILIP1L	7.27E-04
FIP1L1	0.0134
FJX1	0.028
FKBP9	0.00368
FLI1	2.41E-04
FLNB	5.20E-05
FLRT2	0.00339
FLT1	0.00379
FLT3	0.0177
FLT4	0.00448
FLVCR1	0.00303
FMN1	0.00451
FMN2	0.0239
FMNL1	0.0431
FMNL2	0.00221
FMO1	5.56E-04
FMO2	0.047
FMO9P	0.0174
FMOD	0.0251
FNBP1	0.0122
FNDC1	0.00331
FNDC3A	1.98E-05
FNDC3B	0.0358
FOCAD	0.00159
FOLR1	0.0387
FOPNL	0.0359
FOSL2	0.0248
FOXA2	9.13E-06
FOXB1	0.00711
FOXD2	0.0137
FOXF1	4.32E-04
FOXF2	0.0447
FOXG1	0.00207
FOXI1	0.00404
FOXI3	0.0398
FOXK1	0.028
FOXK2	0.025
FOXL1	0.0461
FOXN3	0.022
FOXO1	0.0246
FOXP1	5.31E-04
FOXP2	0.00863
FOXQ1	8.64E-06
FPR3	0.0263
FRAS1	1.67E-05
FREM1	0.0106
FREM2	0.0158
FREM3	0.0354
FRK	1.18E-05
FRMD3	0.00248
FRMD4A	0.00212
FRMD4B	2.58E-05
FRMD5	0.00472
FRMD6	0.00796
FRMPD1	0.00116
FRMPD2	0.00422
FRY	0.0471
FSCB	0.0051
FSHB	0.00971
FSHR	0.0279
FSIP1	0.0422
FSIP2	8.35E-04
FST	0.00123
FSTL1	0.0211
FSTL4	0.00751
FSTL5	0.00205
FTH1	0.0244
FTMT	6.58E-05
FTO	0.00804
FUNDC2P2	0.00763
FUT10	5.85E-04
FUT8	4.39E-07
FUT9	0.0323
FXYD6	0.00485
FYB	0.0254
FYN	0.0403
FZD1	0.00144
FZD2	0.0253
FZD3	0.00468
FZD8	0.00216
GAA	0.0447
GAB1	0.0366
GABARAPL1	0.0416
GABBR1	1.62E-04
GABBR2	0.00716
GABRA1	5.22E-04
GABRA2	0.00821
GABRA6	0.012
GABRB1	0.0215
GABRB2	0.00606
GABRB3	0.00222
GABRG2	0.0285
GABRG3	0.00151
GABRR1	0.00147
GABRR3	0.00427
GAD1	0.00124
GADD45G	0.00668
GADL1	0.00789
GAK	0.00485
GAL3ST3	0.0453
GALC	0.0199
GALNT10	2.54E-05
GALNT12	0.00522
GALNT13	0.00831
GALNT14	0.00181
GALNT15	0.00428
GALNT16	0.0194
GALNT18	2.48E-05
GALNT2	0.009
GALNT5	0.00865
GALNTL6	0.0044
GALR1	0.0043
GAN	0.035
GANC	0.0083
GAP43	3.02E-04
GAR1	0.0309
GAREM1	3.62E-04
GART	0.0487
GAS1	0.0148
GAS2	5.39E-05
GAS7	1.53E-05
GATA4	6.10E-04
GATA5	0.00154
GATA6	0.0153
GBE1	8.33E-06
GBP1	0.039
GBP3	0.0491
GBP4	0.0429
GBP6	3.36E-04
GC	7.53E-04
GCAT	0.00509
GCC2	0.0129
GCFC2	0.045
GCG	0.0142
GCLC	0.0193
GCM1	0.00546
GCN1	0.0486
GCNT1	0.0297
GCNT2	0.0309
GCNT4	0.0369
GDA	0.0307
GDE1	0.0161
GDF10	0.00543
GDF6	0.00312
GDNF	0.00372
GDPD5	0.00239
GEM	0.0404
GFPT2	9.02E-04
GFRA1	0.00255
GFRA2	0.00301
GGACT	1.37E-05
GGTLC1	0.0096
GHITM	0.00731
GHRHR	0.0114
GID4	0.0375
GIMAP6	0.00766
GIMAP7	0.0121
GINS3	0.0287
GIPC2	0.0174
GJA1	0.00574
GJA10	0.044
GJA5	0.00545
GJB2	0.0303
GJB6	0.00964
GJC3	0.00727
GJD2	0.0301
GK2	0.0436
GKAP1	0.0384
GKN3P	0.0231
GLCE	1.26E-04
GLDC	0.00593
GLDN	2.96E-06
GLG1	0.017
GLI2	0.0105
GLI3	2.02E-04
GLIS1	0.0323
GLIS3	5.69E-04
GLP2R	0.0438
GLRA1	0.0379
GLRB	8.60E-04
GLRX3	1.02E-04
GLRX5	0.0298
GLT6D1	0.0142
GLUD1	0.0234
GLYATL1	0.00812
GLYATL1P4	0.0268
GLYATL2	0.0215
GMDS	0.0164
GML	0.00151
GNA12	0.00872
GNA14	0.00906
GNAI1	0.0495
GNAI2	0.0264
GNAQ	0.0262
GNB1L	0.038
GNG12	0.00363
GNG2	0.016
GNG7	0.0203
GNGT1	0.0476
GNPAT	0.00457
GNPDA1	0.0315
GNPDA2	0.00538
GNRH2	0.0476
GOLGA2P7	0.0179
GOLGA7	0.00148
GOLGA7B	0.00609
GOLGB1	0.0019
GOLPH3L	0.00745
GORAB	0.0132
GORASP2	0.00898
GOSR2	0.034
GOT2	0.00505
GPA33	0.0239
GPALPP1	0.0269
GPAM	0.00826
GPAT3	0.0449
GPATCH2	6.12E-04
GPATCH2L	0.0483
GPBP1	0.0107
GPC1	0.00254
GPC5	0.00201
GPC6	1.49E-04
GPD2	0.00178
GPER1	3.82E-04
GPLD1	0.0322
GPM6A	0.0459
GPNMB	0.0379
GPR12	0.0398
GPR137B	0.00203
GPR139	0.00414
GPR141	6.24E-04
GPR151	0.0127
GPR156	0.0324
GPR158	1.36E-04
GPR19	0.00353
GPR26	5.83E-04
GPR32	0.0211
GPR37	0.0182
GPR39	1.52E-06
GPR55	0.00788
GPR6	0.0469
GPR63	0.00197
GPR78	0.0191
GPRC5A	0.00511
GPRC5C	5.56E-05
GPRC5D	0.0406
GPRIN3	0.00767
GPSM3	0.0103
GPX3	7.18E-04
GPX7	0.00147
GRAMD1B	0.00255
GRAMD3	0.00796
GRAMD4	0.00132
GRB10	0.0065
GRB14	0.0241
GREB1	0.00113
GREM2	0.00971
GRHL1	0.00358
GRHL2	5.31E-04
GRIA1	0.00214
GRIA2	0.0305
GRIA4	1.28E-04
GRID1	5.86E-05
GRIK1	2.16E-04
GRIK2	7.53E-11
GRIK3	0.00527
GRIK4	0.00489
GRIN2A	0.00173
GRIN2B	9.00E-06
GRIN3A	0.00216
GRIP1	0.0458
GRK5	2.69E-05
GRM1	0.0108
GRM3	0.00434
GRM4	0.00187
GRM5	0.00306
GRM6	0.0205
GRM7	0.00355
GRM8	3.75E-05
GRP	0.02
GRPEL2	7.62E-04
GRXCR1	3.18E-04
GSAP	0.01
GSC	0.00579
GSE1	0.044
GSG1L	0.0108
GSG1L2	0.0286
GSK3B	0.00749
GSN	0.0287
GSTA2	0.00147
GSTA3	0.00126
GTF2E1	0.0371
GTF2H1	0.0329
GTF2IRD1	0.01
GTF3A	0.0224
GTF3C4	0.0432
GUCA1B	0.0258
GUCY1A2	0.00408
GUCY1A3	0.0162
GUCY1B2	0.0213
GUCY2C	7.32E-04
GUCY2D	0.0131
GUCY2GP	0.00734
GUSB	0.0174
GXYLT1	0.0164
GYG1	0.0192
GYLTL1B	0.00584
GYPA	0.0464
GYPC	9.70E-04
H2AFY	0.00452
H6PD	0.0432
HABP2	0.0284
HACD1	0.0351
HACD2	0.00193
HACD4	0.0224
HACE1	0.00103
HADHA	0.0228
HAND1	0.00746
HAO1	7.57E-05
HAR1A	0.0228
HAR1B	0.00957
HAS1	0.0148
HAS2	0.0416
HAS2-AS1	0.00112
HAVCR1	0.00878
HBS1L	0.024
HCFC2	0.00287
HCG27	0.0384
HCG9	0.0228
HCLS1	0.0491
HCN2	0.0482
HCP5	4.00E-05
HCRTR2	0.00248
HDAC4	0.00147
HDAC7	0.00388
HDAC9	0.00627
HDGFL1	0.00139
HDHD2	0.0393
HEATR1	0.0156
HEATR5A	0.018
HEATR5B	0.0228
HECA	0.0334
HECW1	0.0379
HECW2	0.00776
HELQ	2.24E-04
HELT	0.0148
HEPHL1	0.00137
HERC1	3.17E-04
HERPUD1	0.0301
HERPUD2	2.22E-05
HEY1	0.00484
HFM1	0.00257
HGF	0.0485
HGSNAT	0.0298
HHAT	0.00189
HHEX	0.0425
HHLA1	0.0418
HIBADH	0.00181
HIC2	0.0313
HIGD1C	0.00603
HINT1	0.00575
HIPK3	0.0351
HIST1H2AA	0.0222
HIST1H2AB	0.0479
HIST1H2AJ	1.14E-04
HIST1H2BL	0.0456
HIST1H3B	0.0163
HIST1H3H	0.0133
HIST1H4C	0.0113
HIVEP1	0.0399
HIVEP2	0.0335
HIVEP3	5.74E-06
HJURP	0.022
HK1	0.00174
HKDC1	0.0494
HLA-A	4.43E-08
HLA-B	2.39E-16
HLA-C	4.72E-11
HLA-DMB	0.0332
HLA-DOA	0.0118
HLA-DOB	4.65E-04
HLA-DPB2	0.0159
HLA-DQA1	0.0273
HLA-DQA2	2.19E-07
HLA-DQB1	8.70E-11
HLA-DRA	9.63E-06
HLA-E	0.0016
HLA-F	7.79E-11
HLA-G	8.31E-17
HLCS	0.00832
HLF	0.00489
HLTF	0.0191
HMBOX1	0.0245
HMCN2	0.0109
HMGA1P7	0.00898
HMGA2	0.0148
HMGB1	0.0349
HMGXB4	0.00704
HMHB1	0.00801
HMX3	0.00321
HNF1B	0.00981
HNF4A	0.0462
HNF4G	4.84E-05
HNMT	0.0042
HNRNPA1P33	1.18E-04
HNRNPA3	0.00183
HNRNPA3P1	0.00736
HNRNPD	0.00778
HNRNPF	3.64E-04
HNRNPKP3	0.00112
HOMER1	0.0202
HOPX	0.00276
HOXB4	0.0277
HOXB5	0.00129
HOXB6	0.045
HOXD-AS2	0.0274
HPCAL1	0.0229
HPCAL4	0.0165
HPGD	0.0215
HPSE2	0.00144
HRCT1	0.0304
HRH1	0.0119
HRH4	4.32E-06
HS1BP3	1.40E-04
HS3ST1	0.00934
HS3ST2	0.0136
HS3ST3B1	5.53E-04
HS3ST4	0.00998
HS6ST1	0.00314
HS6ST3	0.00319
HSBP1	0.0172
HSD17B12	0.0162
HSD17B2	0.00131
HSD17B3	8.26E-04
HSD17B4	0.0449
HSD3B1	8.19E-07
HSF2	2.65E-04
HSP90AA4P	0.0151
HSP90AA6P	3.42E-05
HSP90B1	0.0298
HSPA12A	0.0433
HSPA13	0.00675
HSPA1A	0.0183
HSPA8	0.0234
HSPA9	0.0456
HSPB11	0.0449
HSPB3	0.0245
HSPH1	0.0353
HTR1A	0.014
HTR1B	1.16E-04
HTR1E	0.00879
HTR1F	0.0156
HTR2A	3.21E-04
HTR3A	0.041
HTR3D	0.00362
HTR5A	0.0148
HTR5A-AS1	0.00971
HTR7	0.0299
HTRA1	0.0326
HTT	0.0025
HULC	0.0273
HUNK	0.00145
HYAL4	0.00509
HYKK	0.0198
HYOU1	0.00107
HYPK	0.0281
IBSP	0.00365
IBTK	0.0218
ICA1	0.00917
ICAM3	0.0273
ICE1	0.00841
ICOS	0.0344
ID2	0.0252
ID3	0.0473
IDE	0.0186
IDH3A	0.0257
IDO1	0.00973
IDO2	0.015
IER2	0.00466
IER3	1.29E-05
IFFO2	0.019
IFI44	0.0451
IFIT1	0.0317
IFIT3	0.0353
IFNAR1	0.0284
IFNAR2	0.00909
IFNB1	0.0115
IFNG	0.0376
IFNGR1	0.0117
IFNGR2	0.00633
IFNK	0.0199
IFNLR1	0.00409
IFNW1	0.0139
IFT43	6.96E-04
IFT57	0.0105
IFT80	0.015
IGF1	0.00969
IGF2BP1	0.0372
IGF2BP3	0.0215
IGFBP2	0.0112
IGFBP3	1.13E-04
IGFBP7	0.0182
IGFBP7-AS1	1.19E-05
IGFBPL1	0.0119
IGFN1	6.76E-04
IGHMBP2	0.0313
IGLL5	0.0107
IGSF11	0.00442
IGSF21	0.00684
IGSF23	0.00333
IGSF5	0.0128
IGSF8	0.00247
IKBKAP	0.0347
IKBKB	9.01E-04
IKBKE	4.36E-05
IKZF1	0.0459
IKZF3	0.00193
IL10	8.02E-08
IL10RA	0.00201
IL12A	0.0481
IL12RB2	0.00458
IL15	5.60E-04
IL17B	0.0197
IL17RD	0.0018
IL18R1	0.0379
IL18RAP	0.00568
IL1F10	0.00308
IL1R1	0.00374
IL1RAP	0.00437
IL1RL1	0.0108
IL1RL2	0.0114
IL1RN	1.78E-04
IL20RB	8.34E-04
IL21	0.0077
IL22	0.00219
IL22RA1	0.00738
IL23A	0.0205
IL23R	2.66E-08
IL26	0.0325
IL2RA	0.00172
IL2RB	0.0336
IL34	0.01
IL36B	4.61E-04
IL36RN	0.0192
IL4R	0.00692
IL5RA	0.00112
IL6R	0.0366
IL7	0.00321
ILKAP	0.0154
IMMT	0.0415
IMP4	0.0229
IMPA2	0.0278
IMPACT	0.0355
IMPAD1	0.0165
IMPG1	0.00752
ING2	0.0233
ING3	0.0479
INHBA	0.022
INHBB	0.0473
INIP	0.00931
INPP4A	0.00324
INPP4B	3.87E-04
INPP5A	0.0149
INPP5F	0.0361
INSC	2.40E-04
INSIG1	0.0213
INSL4	0.00389
INSM1	0.0096
INSR	0.013
INTS10	0.0308
INTS4P1	0.00897
INTS8	0.00365
INTS9	0.00587
INTU	0.0178
IP6K3	0.0378
IPCEF1	0.00228
IPMK	0.0107
IPO11	0.00186
IPO5	5.27E-04
IPO5P1	0.00471
IPO8	0.00985
IQCA1	0.0325
IQCB1	0.0272
IQCH	0.0178
IQCJ	0.0244
IQCJ-SCHIP1	0.00292
IQCK	0.0445
IQGAP2	0.00188
IQSEC1	3.73E-05
IQSEC3	0.0482
IRAK1BP1	2.09E-04
IRAK2	7.79E-04
IRAK3	0.0324
IREB2	0.00916
IRF2	0.00179
IRF2BPL	0.0365
IRF4	0.0141
IRF8	1.55E-04
IRS1	2.46E-07
IRS2	3.34E-07
IRX1	0.00216
IRX2	8.75E-04
IRX3	0.00261
IRX4	0.011
IRX5	0.0209
IRX6	0.0263
ISL2	0.029
ISM1	0.0282
ISPD	0.036
ISX	0.0103
ITGA1	0.0052
ITGA11	0.0188
ITGA2	0.00395
ITGA6	0.0462
ITGA8	0.0154
ITGA9	0.00133
ITGAE	0.0203
ITGAX	7.26E-04
ITGB1	0.00216
ITGB5	0.0236
ITGBL1	0.00897
ITPKB	0.00224
ITPR1	0.0153
ITPR2	1.42E-04
ITPR3	1.56E-04
ITSN1	0.0117
IYD	0.0222
IZUMO1	0.031
IZUMO1R	0.042
JADE1	0.0208
JADE2	0.0102
JAG1	3.90E-04
JAK2	0.00114
JAKMIP1	0.0022
JAM3	0.00361
JARID2	0.00983
JAZF1	0.0132
JDP2	0.00861
JMY	0.0226
JOSD1	0.0399
JPH1	0.00542
JPH2	0.0232
JRKL	8.73E-04
KALRN	7.58E-04
KANK1	0.00179
KAT2B	0.0459
KAT6A	0.0167
KAT6B	0.0177
KAT7	0.0214
KATNAL1	2.79E-19
KATNB1	0.00305
KATNBL1	0.0159
KAZN	6.70E-04
KBTBD11	0.0032
KBTBD8	0.021
KCNA2	0.0237
KCNA4	0.0029
KCNA5	0.0084
KCNA6	5.68E-04
KCNAB1	0.0099
KCNAB2	0.00624
KCNB2	0.00372
KCNC1	1.81E-04
KCNC2	0.00142
KCNC4	2.77E-04
KCND2	0.00957
KCND3	0.0181
KCNE2	1.04E-04
KCNE4	0.0084
KCNG1	0.00103
KCNG4	0.0031
KCNH1	0.0131
KCNH5	0.00245
KCNH7	0.00363
KCNH8	0.00214
KCNIP1	0.0013
KCNIP3	0.0104
KCNIP4	0.0304
KCNJ1	0.0438
KCNJ14	0.0242
KCNJ16	0.00915
KCNJ2	0.00754
KCNJ3	0.0213
KCNJ5	0.0081
KCNJ6	0.0107
KCNK10	5.65E-04
KCNK12	1.91E-04
KCNK13	0.0144
KCNK17	0.00543
KCNK2	0.0238
KCNK9	9.54E-05
KCNMA1	0.00101
KCNMB2	0.0108
KCNMB4	0.0415
KCNN1	0.0221
KCNN2	5.71E-05
KCNN3	0.00787
KCNQ1	0.0344
